loss_km2,region,year
31933.4,Amazon,2001
42259.8,Amazon,2002
36766.7,Amazon,2003
46703.3,Amazon,2004
43536.2,Amazon,2005
32780.0,Amazon,2006
29716.3,Amazon,2007
27390.5,Amazon,2008
21571.4,Amazon,2009
29733.7,Amazon,2010
21545.6,Amazon,2011
31179.1,Amazon,2012
22649.1,Amazon,2013
30483.6,Amazon,2014
28356.0,Amazon,2015
74056.7,Amazon,2016
64033.3,Amazon,2017
39938.1,Amazon,2018
39319.9,Amazon,2019
45906.8,Amazon,2020
40261.6,Amazon,2021
47138.0,Amazon,2022
45466.9,Amazon,2023
82574.0,Amazon,2024
5757.8,Congo,2001
5456.7,Congo,2002
2520.0,Congo,2003
4532.0,Congo,2004
5531.1,Congo,2005
5233.8,Congo,2006
6271.2,Congo,2007
4290.6,Congo,2008
7236.8,Congo,2009
9278.5,Congo,2010
4952.3,Congo,2011
6835.6,Congo,2012
13168.2,Congo,2013
16880.9,Congo,2014
11994.2,Congo,2015
20975.2,Congo,2016
22174.1,Congo,2017
19842.5,Congo,2018
17134.5,Congo,2019
16869.3,Congo,2020
15812.9,Congo,2021
15082.0,Congo,2022
16177.2,Congo,2023
17170.0,Congo,2024
14772.4,SE Asia,2001
16407.7,SE Asia,2002
10647.1,SE Asia,2003
24140.8,SE Asia,2004
23737.7,SE Asia,2005
26180.1,SE Asia,2006
27042.9,SE Asia,2007
28113.0,SE Asia,2008
39192.9,SE Asia,2009
29169.8,SE Asia,2010
31034.9,SE Asia,2011
45869.6,SE Asia,2012
24904.0,SE Asia,2013
40956.9,SE Asia,2014
35510.1,SE Asia,2015
55483.2,SE Asia,2016
37340.3,SE Asia,2017
32755.4,SE Asia,2018
32392.9,SE Asia,2019
26606.1,SE Asia,2020
25872.9,SE Asia,2021
24849.1,SE Asia,2022
38630.9,SE Asia,2023
32293.3,SE Asia,2024
959.6,India,2001
974.0,India,2002
977.6,India,2003
1429.3,India,2004
1275.6,India,2005
1604.2,India,2006
1900.9,India,2007
2122.6,India,2008
2510.8,India,2009
1851.4,India,2010
2367.2,India,2011
2655.7,India,2012
3148.4,India,2013
5419.8,India,2014
4945.9,India,2015
8290.8,India,2016
8803.3,India,2017
6198.4,India,2018
6045.8,India,2019
6366.8,India,2020
5970.4,India,2021
5122.7,India,2022
7028.2,India,2023
6169.3,India,2024
