system:index,loss_km2,region,year,.geo
1_1_0,31933.36190176755,Amazon,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1,42259.79969248379,Amazon,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2,36766.6617921074,Amazon,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_3,46703.32143617529,Amazon,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_4,43536.21083004959,Amazon,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_5,32780.00102640694,Amazon,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_6,29716.32100053801,Amazon,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_7,27390.50862213346,Amazon,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_8,21571.446560608627,Amazon,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_9,29733.675392391473,Amazon,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_10,21545.588781911458,Amazon,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_11,31179.144056806068,Amazon,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_12,22649.097290612528,Amazon,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_13,30483.586149291965,Amazon,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_14,28355.99253045186,Amazon,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_15,74056.67715489713,Amazon,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_16,64033.32502906062,Amazon,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_17,39938.099309916426,Amazon,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_18,39319.85536410976,Amazon,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_19,45906.782081745936,Amazon,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_20,40261.63182788638,Amazon,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_21,47138.029437413796,Amazon,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_22,45466.88359800195,Amazon,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_23,82573.97237183375,Amazon,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0,5757.790810463237,Congo,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_1,5456.651913880039,Congo,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_2,2520.007550331556,Congo,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_3,4531.982392761952,Congo,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_4,5531.082630985098,Congo,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_5,5233.806705194499,Congo,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_6,6271.2096909591655,Congo,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_7,4290.6469598800795,Congo,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_8,7236.776297211158,Congo,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_9,9278.537976628153,Congo,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_10,4952.272352376777,Congo,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_11,6835.569563557322,Congo,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_12,13168.17946878214,Congo,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_13,16880.90988635739,Congo,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_14,11994.166405516578,Congo,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_15,20975.225805795173,Congo,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_16,22174.09274069753,Congo,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_17,19842.526865627675,Congo,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_18,17134.509605019754,Congo,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_19,16869.310118331086,Congo,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
